article,true_label,cleaned_true_labels,predicted_label
"Bus falls off bridge in Jharkhand; 6 killed, several injured | DH Latest News, DH NEWS, Latest News, India, NEWS , Hazaribag, Death, Bus Accident, Jharkhand .   Ranchi: At least six people were killed and many others injured after a bus carrying around 50 passengers fell off a bridge in Jharkhand's | DH Latest News, DH NEWS, Latest News, India, NEWS , Hazaribag, Death, Bus Accident, Jharkhand ",[],,"The provided news article does not include any events related to a disease, so the result is an empty list."
"11 killed, 10 injured as jeep rams into tractor trolley in Rajasthan's Jhunjhunu - India News . In a road mishap, at least 11 people were killed while 10 others sustained injuries when a jeep rammed into a tractor trolley in Rajasthan's Jhunjhunu.  ",[],,[]
"Covid-19: India sees drop in daily cases, logs 112 new infections today | Mint . Covid-19 update: The death toll stands at 5,30,677 with three fatalities, which includes two deaths reconciled by Kerala and one from Maharashtra in the last 24 hours. ","[{'Disease': 'Covid-19', 'Location': 'India ', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '112'}, {'Disease': 'Covid-19', 'Location': 'India ', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '3'}, {'Disease': 'Covid-19', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '5,30,677'}, {'Disease': 'Covid-19', 'Location': 'Kerala', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '2'}, {'Disease': 'Covid-19 ', 'Location': 'Maharashtra', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '1'}]",,"[
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""India"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": 112
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""India"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""total"",
    ""Number"": 530677
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""Kerala"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""new"",
    ""Number"": 2
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""Maharashtra"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""new"",
    ""Number"": 1
  }
]"
,[],,
"On Children's Day-eve, top specialist says congenital heart disease kills 78K infants in India yearly | CanIndia News . A staggering 78,000 infants born with congenital heart disease die in India annually due to inadequate healthcare facilities and lack of awareness, according to top cardiac surgeon Dr. Ramakanta Panda, the Group CEO of Asian Heart Institute (AHI), Mumbai. In contrast, the number of children dying from heart failure or related problems has dropped by […]",[],,"[{'Disease': 'congenital heart disease', 'Location': 'India', 'Incident': 'death', 'Incident_Type': 'total', 'Number': 78000}]"
"Indore Reports 10 Vector Borne Diseases In A Wk | Indore News - Times of India . Indore: Ten new cases of dengue and malaria were found in the district in the last one week, showed records from the district malaria office.","[{'Disease': 'Dengue', 'Location': 'Indore', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '10'}, {'Disease': 'Malaria', 'Location': 'Indore', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '10'}]",,"[{
'Disease': 'dengue and malaria', 
'Location': 'Indore', 
'Incident': 'case', 
'Incident_Type': 'new', 
'Number': 10
}]"
"India News | No Serious Health Problems from Brahmapuram Fire: Kerala CM | LatestLY . Get latest articles and stories on India at LatestLY.  Vijayan, who had come under scrutiny for not addressing the Brahmapuram crisis told the Legislative assembly that according to available figures, 1,335 people sought medical help in government and private hospitals including 128 children below 10 years of age and 262 above 60 years of age. India News | No Serious Health Problems from Brahmapuram Fire: Kerala CM.",[],,"The given news article does not provide information about any specific disease to extract events as per the required format. Therefore, the result is an empty list."
"NYC blaze kills 4, including baby | Urban Legend with Kevin Sheehan (Video) | New York Post . An Oct. 30 apartment fire in the Bronx took the lives of four members in the close-knit Yemeni community, including three children. One of the victims was a 10-month-old girl, the daughter of Saleh…",[],,[]
"India sees 30% rise in Covid tally with 2,786 fresh cases in last 24 hours - Jammu Kashmir Latest News | Tourism | Breaking News J&K . New Delhi, Oct 13: India registered a single-day rise of 2,786 new COVID-19 cases, taking the country’s tally of infections to 4,46,21,319, while the count of active cases has increased to 26,509, according to Union Health Ministry data updated on Thursday. The death toll due to the disease has climbed to 5,28,847 with 12 fatalities being recorded, including six deaths reconciled by Kerala, the data updated at 8 am showed. Active cases now comprise 0.06 per cent of the total infections, … ","[{'Disease': 'Covid ', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '2786'}, {'Disease': 'Covid ', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '44621319'}, {'Disease': 'Covid ', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '528847'}, {'Disease': 'Covid', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '12'}, {'Disease': 'Covid ', 'Location': 'Kerala', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '6'}]",,"[
{
""Disease"": ""COVID-19"",
""Location"": ""India"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": 2786
},
{
""Disease"": ""COVID-19"",
""Location"": ""India"",
""Incident"": ""case"",
""Incident_Type"": ""total"",
""Number"": 44621319
},
{
""Disease"": ""COVID-19"",
""Location"": ""India"",
""Incident"": ""case"",
""Incident_Type"": ""active"",
""Number"": 26509
},
{
""Disease"": ""COVID-19"",
""Location"": ""India"",
""Incident"": ""death"",
""Incident_Type"": ""total"",
""Number"": 528847
},
{
""Disease"": ""COVID-19"",
""Location"": ""Kerala"",
""Incident"": ""death"",
""Incident_Type"": ""new"",
""Number"": 6
}
]"
India News | Uttar Pradesh CM Condoles Deaths in Road Accident in Rae Bareli | LatestLY . Get latest articles and stories on India at LatestLY. Uttar Pradesh Chief Minister Yogi Adityanath on Wednesday expressed condolences over the death of five people in a road accident in Uttar Pradesh's Rae Bareli. India News | Uttar Pradesh CM Condoles Deaths in Road Accident in Rae Bareli. ,[],,[]
"Jammu and Kashmir: Three terrorists killed as Army foils infiltration bid along LoC in Uri | India News – India TV . Jammu and Kashmir: The use of electronic surveillance and intelligence-based operations continue to be the mainstay of the Army’s operations against Pakistan-sponsored terror in J&K, police said.  ",[],,[]
"Calling man ‘bald’ is sex-related harassment, employment tribunal rules | The Independent . Ruling made by panel of three men who bemoaned their own lack of hair   ",[],,[]
"The human virus: When is the vaccine coming? | Deccan Herald . ""Coronavirus is not new. It has always been there in humans. Everyone knows."" I was still trying to understand what 'norovirus' was all about, after two cases were detected in Kerala, when came this profound observation from my domestic help. I tried to explain to her that while Covid-19 cases were rising again, some norovirus symptoms mirrored those of the former. And monkeypox has joined the party. ""Relax, didi. This is how it always has been. Look around. Are the people any less than a virus?"" she laughed, perhaps both at my concerns and ignorance. ",[],,"[

{
""Disease"": ""Norovirus"",
""Location"": ""Kerala"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": ""2""
},

{
""Disease"": ""Covid-19"",
""Incident_Type"": ""new""
}

]"
