article,true_label,predicted_label(Chat_gpt),Soft_score,Hard_score
"Fire broke out during gas cylinder refilling in Jodhpur, even vehicles parked outside the house melted - Dainik Bhaskar | Kirtinagar of Jodhpur was shaken by explosions on Saturday afternoon. Panic spread in the areas of about one kilometer due to one-by-one explosions. In no time, a young man along with 3 children got burnt alive. 16 people were seriously burnt. Several houses in the neighborhood developed cracks. Cars parked in the house melted. , A mother who entered to save her son came out burning, the other killed 4 children, 4 people have died in the cylinder blast in Kirti Nagar in Jodhpur. 16 people are injured and out of these 8 people got 80 percent scorched. The accident has shaken the entire Jodhpur. The magnitude of the accident can be gauged from the fact that 3 to 4 houses around the house where the cylinder blast took place were hit. The child playing outside the house died. How did this accident happen? To know the answer to this question, the team of Dainik Bhaskar went on the ground and investigated the whole matter. Bhaskar reached out to the woman who was an eyewitness to the accident who had entered the house engulfed in flames to save her child. She also got burnt in the accident.",[],"The given text does not contain information about any disease, therefore it does not fit the required format for extraction.",1.0,1
"Increasing cases of lumpy skin disease in Uttarakhand know the symptoms. Lumpy Skin Disease: Increasing cases of lumpy skin disease in Uttarakhand, know what are the symptoms. Hindi News, Uttar Pradesh | The cases of lumpy skin disease are continuously increasing in Uttarakhand. About 19404 cases of lumpy skin disease have been reported in animals so far. Of these, 17904 animals have been cured so far. 321 animals have also died. Apart from this, vaccination of 23,5732 animals has also been done.","[{'Disease': 'Lumpy skin disease', 'Location': 'Uttarakhand', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '19404'}, {'Disease': 'Lumpy skin disease', 'Location': 'Uttarkhand', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '321'}]","[
{
""Disease"": ""lumpy skin disease"",
""Location"": ""Uttarakhand"",
""Incident"": ""case"",
""Incident_Type"": ""total"",
""Number"": 19404
},
{
""Disease"": ""lumpy skin disease"",
""Location"": ""Uttarakhand"",
""Incident"": ""case"",
""Incident_Type"": ""cured"",
""Number"": 17904
},
{
""Disease"": ""lumpy skin disease"",
""Location"": ""Uttarakhand"",
""Incident"": ""death"",
""Incident_Type"": ""total"",
""Number"": 321
},
{
""Disease"": ""lumpy skin disease"",
""Location"": ""Uttarakhand"",
""Incident"": ""case"",
""Incident_Type"": ""vaccinated"",
""Number"": 235732
}
]",1.6,0
"In Jharkhand's Kasturba School, 28 girls fell ill due to food poisoning, know how the danger is increasing in the changing season and how to prevent it. TheHealthSite.com Hindi | In a Kasturba Vidyalaya in Jharkhand, the health of 28 girl students suddenly worsened, which the doctor has described as a case of food poisoning. Learn what is food poisoning and how to prevent it.",[],"[{""Disease"": ""food poisoning"", ""Location"": ""Kasturba School, Jharkhand"", ""Incident"": ""case"", ""Incident_Type"": ""new"", ""Number"": 28}]",0.0,0
"Aurangabad news : In Aurangabad in two days heat wave took the lives of 10 people. Heat stroke claimed 10 live in two days at Aurangabad Bihar - Navbharat Times | Aurangabad Weather Alert: In Aurangabad district of Bihar, the heat has wreaked havoc on the people. According to unofficial figures, in the last 10 days only 10 people were killed. On the other hand, according to the doctor of Sadar Hospital, 50 patients have reached the hospital in just 24 hours.",[],"[
{
'Disease': 'Heat stroke',
'Location': 'Aurangabad',
'Incident': 'death',
'Incident_Type': 'new',
'Number': '10'
},
{
'Disease': 'Heat stroke',
'Location': 'Aurangabad',
'Incident': 'death',
'Incident_Type': 'total',
'Number': '10'
},
{
'Disease': 'Heat stroke',
'Location': 'Aurangabad',
'Incident': 'case',
'Incident_Type': 'new',
'Number': '50'
}
]",0.0,0
Ambikapur News:Four people of the same family fell ill after eating putu; Hospitalized after vomiting and diarrhea  . Four members of the same family fell ill after consuming wild puttu on Sunday night in Parpatia village of Mainpat development block of Chhattisgarh.,"[{'Disease': 'Diarrhea', 'Location': 'Ambikapur', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '4'}]","[{'Disease': 'food poisoning', 'Location': 'Parpatia village, Chhattisgarh', 'Incident': 'case', 'Incident_Type': 'new', 'Number': 4}]",0.6,0
54 new positive cases of  Corona in Bilashpur - Bilaspur News ,"[{'Disease': 'Corona', 'Location': 'Bilashpur', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '54'}]","[{""Disease"": ""Corona"", ""Location"": ""Bilashpur"", ""Incident"": ""case"", ""Incident_Type"": ""new"", ""Number"": 54}]",1.0,1
"Patients increased from CHC to district hospital, treatment of two patients on 1 bed - Dainik Bhaskar | Suspected fever infection is continuously increasing in Sitapur. The number of patients in OPD has more than tripled at all CHCs including district hospital. Due to uncontrollable infection fever, the situation has become such that three patients are lying on one bed in the district hospital. Bottles are being offered to the patients on the ground. More than 6 patients have died in the last two weeks due to fever. In which most of the children are involved. Reusa ch... | sitapur news, sitapur news in hindi, sitapur latest news, sitapur hindi news, sitapur samachar, sitapur heath news, cmo sitapur,",[],"[
  {
    ""Disease"": ""Suspected fever infection"",
    ""Location"": ""Sitapur"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": ""N/A""
  },
  {
    ""Disease"": ""Suspected fever infection"",
    ""Location"": ""Sitapur District Hospital"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""total"",
    ""Number"": ""3""
  },
  {
    ""Disease"": ""Suspected fever infection"",
    ""Location"": ""Sitapur"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""total"",
    ""Number"": ""6""
  }
]",0.0,0
"Corona cases increase again, 18,313 new cases in 24 hours, 57 deaths - national news punjab kesari delhi corona virus vaccine | After 18,313 new cases of corona virus infection were reported in India in one day, the number of infected people in the country increased to 4,39,38,764.","[{'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '18313'}, {'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '43938764'}, {'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '57'}]","[
  {
    ""Disease"": ""Corona"",
    ""Location"": ""India"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": 18313
  },
  {
    ""Disease"": ""Corona"",
    ""Location"": ""India"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""new"",
    ""Number"": 57
  },
  {
    ""Disease"": ""Corona"",
    ""Location"": ""India"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""total"",
    ""Number"": 43938764
  }
]",3.0,3
"The speed of corona slowed down in Chhattisgarh. The effect of the fourth wave of Corona has started reducing in Chhattisgarh. On Wednesday, 183 new corona patients have been found in the state. The corona positivity rate is 2.27%. The total number of active patients is 1,469.","[{'Disease': 'Corona', 'Location': 'Chhattisgarh', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '183'}, {'Disease': 'Corona', 'Location': 'Chhattisgarh', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '1469'}]","[
{
""Disease"": ""Corona"",
""Location"": ""Chhattisgarh"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": 183
},
{
""Disease"": ""Corona"",
""Location"": ""Chhattisgarh"",
""Incident"": ""case"",
""Incident_Type"": ""total"",
""Number"": 1469
}
]",2.0,2
"Dr. Nitin Raut: Corona infection is increasing due to the affected passengers coming from Delhi | Maharashtra Times | While the incidence of corona virus is increasing in the country, when the information of 35 infected people in Nagpur was taken, it was clear that most of them have a background of traveling to Delhi.","[{'Disease': 'Corona', 'Location': 'Nagpur', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '35'}]","[
{
'Disease': 'Corona',
'Location': 'Nagpur',
'Incident': 'case',
'Incident_Type': 'new',
'Number': 35
},
{
'Disease': 'Corona',
'Location': 'Delhi',
'Incident': 'case',
'Incident_Type': 'total',
'Number': 'unknown'
}
]",1.0,1
