article,true_label,predicted_label(Chat_gpt),Soft_score,Hard_score
"Covid-19: India sees drop in daily cases, logs 112 new infections today | Mint . Covid-19 update: The death toll stands at 5,30,677 with three fatalities, which includes two deaths reconciled by Kerala and one from Maharashtra in the last 24 hours. ","[{'Disease': 'Covid-19', 'Location': 'India ', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '112'}, {'Disease': 'Covid-19', 'Location': 'India ', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '3'}, {'Disease': 'Covid-19', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '5,30,677'}, {'Disease': 'Covid-19', 'Location': 'Kerala', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '2'}, {'Disease': 'Covid-19 ', 'Location': 'Maharashtra', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '1'}]","[
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""India"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": 112
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""India"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""total"",
    ""Number"": 530677
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""Kerala"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""new"",
    ""Number"": 2
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""Maharashtra"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""new"",
    ""Number"": 1
  }
]",4.0,4
"Indore Reports 10 Vector Borne Diseases In A Wk | Indore News - Times of India . Indore: Ten new cases of dengue and malaria were found in the district in the last one week, showed records from the district malaria office.","[{'Disease': 'Dengue', 'Location': 'Indore', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '10'}, {'Disease': 'Malaria', 'Location': 'Indore', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '10'}]","[{
'Disease': 'dengue and malaria', 
'Location': 'Indore', 
'Incident': 'case', 
'Incident_Type': 'new', 
'Number': 10
}]",1.0,1
"India sees 30% rise in Covid tally with 2,786 fresh cases in last 24 hours - Jammu Kashmir Latest News | Tourism | Breaking News J&K . New Delhi, Oct 13: India registered a single-day rise of 2,786 new COVID-19 cases, taking the country’s tally of infections to 4,46,21,319, while the count of active cases has increased to 26,509, according to Union Health Ministry data updated on Thursday. The death toll due to the disease has climbed to 5,28,847 with 12 fatalities being recorded, including six deaths reconciled by Kerala, the data updated at 8 am showed. Active cases now comprise 0.06 per cent of the total infections, … ","[{'Disease': 'Covid ', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '2786'}, {'Disease': 'Covid ', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '44621319'}, {'Disease': 'Covid ', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '528847'}, {'Disease': 'Covid', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '12'}, {'Disease': 'Covid ', 'Location': 'Kerala', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '6'}]","[
{
""Disease"": ""COVID-19"",
""Location"": ""India"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": 2786
},
{
""Disease"": ""COVID-19"",
""Location"": ""India"",
""Incident"": ""case"",
""Incident_Type"": ""total"",
""Number"": 44621319
},
{
""Disease"": ""COVID-19"",
""Location"": ""India"",
""Incident"": ""case"",
""Incident_Type"": ""active"",
""Number"": 26509
},
{
""Disease"": ""COVID-19"",
""Location"": ""India"",
""Incident"": ""death"",
""Incident_Type"": ""total"",
""Number"": 528847
},
{
""Disease"": ""COVID-19"",
""Location"": ""Kerala"",
""Incident"": ""death"",
""Incident_Type"": ""new"",
""Number"": 6
}
]",3.6000000000000005,0
"85 New Covid Cases Reported In City, Dist | Vadodara News - Times of India .  After a spike of 162 cases on Wednesday, the number of Covid-19 cases reported in the city and district slipped below 100 again on Thursday. From 1,9 ","[{'Disease': 'Covid', 'Location': 'Vadodara', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '85'}, {'Disease': 'Covid-19', 'Location': 'Vadodara', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '162'}]","[{'Disease': 'Covid-19', 'Location': 'Vadodara', 'Incident': 'case', 'Incident_Type': 'new', 'Number': 85}, {'Disease': 'Covid-19', 'Location': 'Vadodara', 'Incident': 'case', 'Incident_Type': 'new', 'Number': 162}]",2.0,2
COVID-19 cases rise to 98 due to institutional clusters  - The Hindu . Chennai  and Chengalpattu account for a majority of the fresh infections ,"[{'Disease': 'COVID-19', 'Location': 'Chennai ', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': ''}, {'Disease': 'COVID-19', 'Location': 'Chengalpattu', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': ''}, {'Disease': 'COVID-19', 'Location': '', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '98'}]","[
    {
        ""Disease"": ""COVID-19"",
        ""Location"": ""Chennai"",
        ""Incident"": ""case"",
        ""Incident_Type"": ""new"",
        ""Number"": ""unknown""
    },
    {
        ""Disease"": ""COVID-19"",
        ""Location"": ""Chengalpattu"",
        ""Incident"": ""case"",
        ""Incident_Type"": ""new"",
        ""Number"": ""unknown""
    },
    {
        ""Disease"": ""COVID-19"",
        ""Location"": ""unknown"",
        ""Incident"": ""case"",
        ""Incident_Type"": ""total"",
        ""Number"": 98
    }
]",2.4000000000000004,0
"Bird flu confirmed in ducks in Alappuzha - The Hindu . 1,500 birds dead in the past week in Haripad municipality  ","[{'Disease': 'Bird flu', 'Location': 'Alappuzha', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '1500'}]","[{
'Disease':'Bird flu',
'Location':'Alappuzha',
'Incident':'death',
'Incident_Type':'total',
'Number':1500
},
{
'Disease':'Bird flu',
'Location':'Haripad municipality',
'Incident':'death',
'Incident_Type':'new',
'Number':1500
}]",0.8,0
"Pune city reports 39 cases of Swine Flu in seven days - Hindustan Times . The city has seen 39 cases of Swine Flu between September 10 and September 17, as per the health department ","[{'Disease': 'Swine Flu', 'Location': 'Pune', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new ', 'Number': '39'}]","[
  {
    ""Disease"": ""Swine Flu"",
    ""Location"": ""Pune city"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": 39
  }
]",1.0,1
"Maharashtra: Record 62 patients of BA.4 and BA.5, 79 of BA.2.75 sub-variant of Omicron detected .   ","[{'Disease': 'Omicron', 'Location': 'Maharashtra', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '62'}]","[{'Disease': 'BA.4', 'Location': 'Maharashtra', 'Incident': 'case', 'Incident_Type': 'new', 'Number': 62}, {'Disease': 'BA.5', 'Location': 'Maharashtra', 'Incident': 'case', 'Incident_Type': 'new', 'Number': 62}, {'Disease': 'BA.2.75', 'Location': 'Maharashtra', 'Incident': 'case', 'Incident_Type': 'new', 'Number': 79}]",0.8,0
"Mysterious Disease In AP's Eluru Claims 1 Life, 347 Falls Ill, Samples Sent To Delhi - Date 08-12-2020 Online | JioCinema . Watch Mysterious Disease In AP's Eluru Claims 1 Life, 347 Falls Ill, Samples Sent To Delhi All Latest Episodes Live Online On JioCinema. Get Best Quality Online Streaming Of All Colors Hindi TV Show Videos For Free. Vote Now For Your Favourite Contestant.","[{'Disease': '', 'Location': 'AP', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '347'}, {'Disease': '', 'Location': 'AP', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '1'}]","[
  {
    ""Disease"": ""Mysterious Disease"",
    ""Location"": ""AP's Eluru"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""new"",
    ""Number"": 1
  },
  {
    ""Disease"": ""Mysterious Disease"",
    ""Location"": ""AP's Eluru"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": 347
  }
]",0.2,0
"Forget Covid, Tomato flu is giving sleepless nights to people; over 100 cases detected in India - The Kashmir Monitor . New Delhi:  Tomata flu is spreading fast in the country. Over 100 cases have been reported from Kerala, Tamil Nadu, Odisha, and Haryana. ","[{'Disease': 'Tomato flu', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '100'}, {'Disease': 'Tomata flu', 'Location': 'Kerala', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': ''}, {'Disease': 'Tomata flu', 'Location': 'Tamil Nadu', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': ''}, {'Disease': 'Tomata flu', 'Location': 'Odisha', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': ''}, {'Disease': 'Tomata flu', 'Location': 'Haryana', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': ''}]","[
{
""Disease"": ""Tomata flu"",
""Location"": ""India"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": ""100""
},
{
""Disease"": ""Tomata flu"",
""Location"": ""Kerala"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": ""Unknown""
},
{
""Disease"": ""Tomata flu"",
""Location"": ""Tamil Nadu"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": ""Unknown""
},
{
""Disease"": ""Tomata flu"",
""Location"": ""Odisha"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": ""Unknown""
},
{
""Disease"": ""Tomata flu"",
""Location"": ""Haryana"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": ""Unknown""
}
]",3.0,0
