value,variants
Jammu and Kashmir,Jammu and Kashmir |J&K |Jammu |Kashmir |Union Territory of J&K |
Anantnag,Anantnag |Islamabad |
Anantnag,Anantnag |
Kokernag,Kokernag |
Achabal,Achabal |
Achhabal,Achhabal |
Aishmuquam,Aishmuquam |
Bijbehara,Bijbehara |
Duru Verinag,Duru Verinag |
Koker Nag,Koker Nag |
Mattan,Mattan |
Pahalgam,Pahalgam |
Qazi Gund,Qazi Gund |
Seer Hamdan,Seer Hamdan |
Badgam,Badgam |Budgam |
Badgam,Badgam |
Khansahib,Khansahib |
Beerwah,Beerwah |
Chadura,Chadura |
Magam,Magam |
Baramulla,Baramulla |Varhamula |Baramula |
Baramulla,Baramulla |
Uri,Uri |
Tangmarg,Tangmarg |
Baramula,Baramula |
Gulmarg,Gulmarg |
Kunzer,Kunzer |
Pattan,Pattan |
Sopore,Sopore |
Watra Gam,Watra Gam |
Doda,Doda |Doda |
Doda,Doda |
Thathri,Thathri |
Gandoh,Gandoh |
Bhaderwah,Bhaderwah |
Thatri,Thatri |
Jammu,Jammu |Jammu |
Jammu,Jammu |
Rajouri,Rajouri |
Nowshera,Nowshera |
Akhnoor,Akhnoor |
Arnia,Arnia |
Bishna,Bishna |
Ghomanhasan,Ghomanhasan |
Jourian,Jourian |
Khore,Khore |
Kathua,Kathua |Kathua |
Kathua,Kathua |
Hiranagar,Hiranagar |
Bashohli,Bashohli |
Billawar,Billawar |
Lakhanpur,Lakhanpur |
Parole,Parole |
Kupwara,Kupwara |Kupwara |
Kupwara,Kupwara |
Tangdhar,Tangdhar |
Handwara,Handwara |
Langate,Langate |
Poonch,Poonch |Punch |
Poonch,Poonch |
Punch,Punch |
Surankote,Surankote |
Pulwama,Pulwama |Pulwama |
Pulwama,Pulwama |
Pampore,Pampore |
Awantipora,Awantipora |
Khrew,Khrew |
Pampora,Pampora |
Tral,Tral |
Rajauri,Rajauri |Rajouri |
Rajauri,Rajauri |
Kalakote,Kalakote |
Nowshehra,Nowshehra |
Sunderbani,Sunderbani |
Thanamandi,Thanamandi |
Srinagar,Srinagar |Srinagar |
